id,category,artist,song_name,release_year
1,ลูกทุ่งอินดี้ / อีสานโมเดิร์น,ก้อง ห้วยไร่,ไสว่าสิบ่ถิ่มกัน,2015
2,ลูกทุ่งอินดี้ / อีสานโมเดิร์น,ก้อง ห้วยไร่,คู่คอง,2016
3,ลูกทุ่งอินดี้ / อีสานโมเดิร์น,ก้อง ห้วยไร่,ริบบิ้นเลิฟมั้ย,2022
4,ลูกทุ่งอินดี้ / อีสานโมเดิร์น,ก้อง ห้วยไร่,โอ้ละน้อ,2017
5,ลูกทุ่งอินดี้ / อีสานโมเดิร์น,เบิ้ล ปทุมราช,อ้ายมีเหตุผล,2015
6,ลูกทุ่งอินดี้ / อีสานโมเดิร์น,เบิ้ล ปทุมราช,เฟสก็บ่ทัก ไลน์ก็บ่ตอบ,2016
7,ลูกทุ่งอินดี้ / อีสานโมเดิร์น,เบิ้ล ปทุมราช,เฮ็ดทุกวิถีทาง,2018
8,ลูกทุ่งอินดี้ / อีสานโมเดิร์น,ลำไย ไหทองคำ,ผู้สาวขาเลาะ,2016
9,ลูกทุ่งอินดี้ / อีสานโมเดิร์น,ลำไย ไหทองคำ,ยายแล่ม,2023
10,ลูกทุ่งอินดี้ / อีสานโมเดิร์น,ลำไย ไหทองคำ,แค่คนคุย,2019
11,ลูกทุ่งอินดี้ / อีสานโมเดิร์น,มนต์แคน แก่นคูน,คำว่าฮักกัน มันเหี่ยถิ่มไส,2016
12,ลูกทุ่งอินดี้ / อีสานโมเดิร์น,มนต์แคน แก่นคูน,คอยน้องที่ช่องเม็ก,2016
13,ลูกทุ่งอินดี้ / อีสานโมเดิร์น,มนต์แคน แก่นคูน,อ้ายฮักเขา ตอนเจ้าบ่ฮัก,2018
14,ลูกทุ่งอินดี้ / อีสานโมเดิร์น,มนต์แคน แก่นคูน,วอนหลวงพ่อรวย,2020
15,ลูกทุ่งอินดี้ / อีสานโมเดิร์น,มนต์แคน แก่นคูน,มาเด้อฝันเอย,2022
16,ลูกทุ่งอินดี้ / อีสานโมเดิร์น,ไผ่ พงศธร,คนบ้านเดียวกัน,2008
